id,_title,_description,keywords,_circa,_date created,_material,_width,_height,_depicts,_Lat,_Lon,year,_creator
0072430cx097-12,"Museu Nacional, antigo Palácio Imperial de São Cristóvão","Ao longo do tempo, o Paço de São Cristóvão, que abriga hoje o Museu Nacional, sofreu diversas transformações, como a ampliação do palácio feita por D. Pedro II a partir de 1850. Lá ele viveu em um período de longa duração, tornando este edifício testemunha de diversos momentos importantes na História do Brasil.",Marc Ferrez,1879 – 1889,N.A.,NEGATIVO/ Vidro,30.0 cm,24.0 cm,N.A.,-22.903364,-43.223602,1884,Marc Ferrez
0072430cx098-08,Teatro Municipal,"Vista do Teatro Municipal, vendo-se a Escola Nacional de Belas Artes ao lado.",Marc Ferrez,1905 – 1915,N.A.,NEGATIVO/ Vidro,30.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q1968538"">Teatro Municipal do Rio de Janeiro</a>",-22.910046,-43.175833,1910,Marc Ferrez
013RJ001004,"Vista do Rio de Janeiro, tendo o Gasômetro em primeiro plano","A fábrica do Barão de Mauá perto do Canal do Mangue chamava-se oficialmente Companhia de Iluminação a Gás, e, em 1865, foi vendida para uma empresa canadense, que assumiu o serviço de gás através da Rio de Janeiro Gas Company Limited. Em 1876 a concessão do abastecimento de gás passou para a empresa belga Société Anonyme du Gaz (SAG) que por sua vez passou a ser controlada pela The Rio de Janeiro Tramway Light and Power Company Limited (Light) a partir de 1910. Para ampliar a produção de gás na cidade, a SAG decidiu construir, em 1911, uma nova fábrica no bairro de São Cristóvão. É esta fábrica que podemos ver na fotografia de Malta.",Augusto Malta,1920 – 1932,N.A.,FOTOGRAFIA/ Papel,N.A.,N.A.,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q2408175"">São Cristóvão</a>",-22.894799,-43.21669,1926,Augusto Malta
013RJ001005,Substituição da iluminação pública de gás para lâmpadas incandescentes,"A partir de 1907, quando a empresa canadense Light ganhou a concessão do governo para distribuir energia elétrica para a cidade, é que a iluminação pública começou a ser modificada, transformando a luz à gás para luz incandescente. Conhecida como polvo canadense pela população carioca, a empresa monopolizou não apenas a distribuição elétrica, mas foi aos poucos tomando conta do transporte público dos bondes e das linhas telefônicas.",Augusto Malta,N.A.,1921,FOTOGRAFIA/ Papel,16.5 cm,23.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10353330"">Praça Mauá</a>",-22.896965,-43.18003,1921,Augusto Malta
013RJ001009,Avenida Vieira Souto - depois da substituição da iluminação pública de gás para lâmpadas incandescentes,nan,Augusto Malta,N.A.,"February 10, 1921",FOTOGRAFIA/ Papel,N.A.,N.A.,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q3375097"">Avenida Vieira Souto</a>",-22.986784,-43.198543,1921,Augusto Malta
001AAN005121,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Barra.  Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1905 – 1915,N.A.,FOTOGRAFIA/ Papel,14.1 cm,8.3 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",-22.946092,-43.14192,1910,Anônimo
001AAN005122,Ilha Fiscal,"Vista da Ilha Fiscal.  Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1908 – 1909,N.A.,FOTOGRAFIA/ Papel,14.1 cm,8.3 cm,N.A.,-22.894957,-43.166474,1908,Anônimo
001AAN005123,Ilha das Cobras,"Ilha das Cobras vista da baía.  Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1905 – 1915,N.A.,FOTOGRAFIA/ Papel,14.1 cm,8.3 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",-22.894054,-43.166004,1910,Anônimo
001AAN005124,Rua Primeiro de Março,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo.  Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1905 – 1915,N.A.,FOTOGRAFIA/ Papel,14.1 cm,8.3 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q2946148"">Centro</a>",-22.901312,-43.17648300000001,1910,Anônimo
001AAN005125,Quartel Central do Corpo de Bombeiros,"Vista de edificações que compõem o Corpo de Bombeiros.  Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1905 – 1915,N.A.,FOTOGRAFIA/ Papel,14.1 cm,8.3 cm,N.A.,-22.909437,-43.187345,1910,Anônimo
